Time, Pellets, Tension, Distance, Reward
1.446667, 34, 0.3989423, 3, 8.052166
1.463333, 34, 0.3989423, 3, 8.421697
1.48, 34, 0.3989423, 3, 8.791227
1.496667, 34, 0.3989423, 3, 9.160758
1.513333, 34, 0.3989423, 3, 9.530289
1.53, 34, 0.3989423, 3, 9.899819
1.546667, 34, 0.3989423, 3, 10.26935
1.563333, 34, 0.3989423, 3, 10.63888
1.58, 34, 0.3989423, 3, 11.00841
1.596667, 34, 0.2419707, 2, 11.37794
1.613333, 34, 0.2419707, 2, 11.5905
1.63, 34, 0.2419707, 2, 11.80306
1.646667, 34, 0.2419707, 2, 12.01562
1.663333, 34, 0.2419707, 2, 12.22818
1.68, 34, 0.2419707, 2, 12.44074
1.696667, 34, 0.2419707, 2, 12.6533
1.713333, 34, 0.2419707, 2, 12.86586
1.73, 34, 0.2419707, 2, 13.07842
1.746667, 34, 0.05399097, 1, 13.29098
1.763333, 34, 0.05399097, 1, 13.31556
1.78, 34, 0.05399097, 1, 13.34014
1.796667, 34, 0.05399097, 1, 13.36472
1.813333, 34, 0.05399097, 1, 13.3893
1.83, 34, 0.05399097, 1, 13.41388
1.846667, 34, 0.05399097, 1, 13.43846
1.863333, 33, 0.05399097, 1, 13.46304
Game 2
0.01666665, 42, 0.004431848, 6, 0
0.0333333, 42, 0.004431848, 6, -0.01937767
0.04999995, 42, 0.004431848, 6, -0.03875535
0.06666672, 42, 0.004431848, 6, -0.05813302
0.08333337, 42, 0.004431848, 6, -0.0775107
0.1, 41, 0.004431848, 6, -0.09688837
0.1166667, 41, 0.05399097, 5, -0.1168468
0.1333333, 41, 0.05399097, 5, -0.08724604
0.15, 41, 0.05399097, 5, -0.05764531
0.1666666, 41, 0.05399097, 5, -0.02804459
0.1833333, 41, 0.05399097, 5, 0.001556135
0.1999999, 41, 0.05399097, 5, 0.03115686
0.2166666, 41, 0.05399097, 5, 0.06075758
0.2333332, 41, 0.05399097, 5, 0.09035831
0.2500001, 40, 0.05399097, 5, 0.119959
0.2666668, 40, 0.004431848, 6, 0.14895
0.2833334, 40, 0.004431848, 6, 0.1283818
0.3000001, 40, 0.004431848, 6, 0.1078137
0.3166667, 40, 0.004431848, 6, 0.08724553
0.3333334, 40, 0.004431848, 6, 0.06667738
0.35, 40, 0.004431848, 6, 0.04610924
0.3666667, 40, 0.004431848, 6, 0.02554108
0.3833333, 40, 0.004431848, 6, 0.004972933
0.4, 39, 0.05399097, 5, 0.0339639
0.4166666, 39, 0.004431848, 6, 0.06231385
0.4333333, 39, 0.004431848, 6, 0.04110467
0.4499999, 39, 0.004431848, 6, 0.0198955
0.4666666, 39, 0.004431848, 6, -0.00131368
0.4833332, 39, 0.004431848, 6, -0.02252286
0.5000001, 39, 0.004431848, 6, -0.04373203
0.5166668, 39, 0.004431848, 6, -0.06494121
0.5333334, 39, 0.004431848, 6, -0.08615039
0.5500001, 38, 0.004431848, 6, -0.1073596
0.5666667, 38, 0.05399097, 5, -0.1292435
