Time, Pellets, Tension, Position, Distance, Reward
94.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.295371
95.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.366795
96.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.438219
97.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.509643
98.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.581067
99.03333, 42, 0, (-0.6 0.45 0), 1.2, -5.652491
100.0333, 42, 0, (-0.6 0.45 0), 1.2, -5.723915
101.0333, 42, 0, (-0.6 0.45 0), 1.2, -5.795339
102.0333, 42, 0, (-0.6 0.45 0), 1.2, -5.866763
103.0333, 42, 0, (-0.6 0.45 0), 1.2, -5.938187
104.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.009611
105.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.081035
106.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.152459
107.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.223883
108.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.295307
109.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.366731
110.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.438155
111.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.509579
112.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.581003
113.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.652427
114.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.723851
115.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.795275
116.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.866699
117.0333, 42, 0, (-0.6 0.45 0), 1.2, -6.938123
118.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.009547
119.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.080971
120.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.152395
121.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.223819
122.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.295243
123.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.366667
124.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.438091
125.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.509515
126.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.580939
127.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.652363
128.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.723787
129.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.795211
130.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.866635
131.0333, 42, 0, (-0.6 0.45 0), 1.2, -7.938059
132.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.009483
133.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.080906
134.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.152328
135.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.223751
136.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.295174
137.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.366596
138.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.438019
139.0333, 42, 0, (-0.6 0.45 0), 1.2, -8.509441
